Student_ID,Name,Class,Gender,Age,City,Parental_Education,Income_Level,Maths,Science,English,Total Classes Held,Total Classes Attended,Participation Score,Extra-Curricular Involvement,Homework Completion Rate (%),Study Hours Per Week,Parent Involvement,Access to Internet,Device Used for Learning,Online Learning Attendance (%),Total Marks,Percentage,Rank in Class,Pass/Fail,GPA,Attendance (%)
1,Student 1,Grade 12,Female,18,Chicago,Graduate,Medium,63,47,89,182,117,3,No,73,22,Low,Yes,PC,54,199,66.33333333,18,Pass,2.653333333,64.28571429
2,Student 2,Grade 10,Female,15,Los Angeles,High School,Low,74,87,67,197,137,1,Yes,74,11,Medium,Yes,Tablet,92,228,76,11.5,Pass,3.04,69.54314721
3,Student 3,Grade 12,Female,17,Chicago,Graduate,Low,88,84,67,191,198,6,Yes,56,14,High,No,PC,94,239,79.66666667,3.5,Pass,3.186666667,103.6649215
4,Student 4,Grade 12,Male,16,Chicago,Postgraduate,Low,74,40,76,180,114,2,Yes,55,11,Medium,Yes,Mobile,80,190,63.33333333,23,Pass,2.533333333,63.33333333
5,Student 5,Grade 10,Male,15,Houston,Graduate,Low,87,61,80,191,163,8,No,73,5,Medium,No,Mobile,72,228,76,11.5,Pass,3.04,85.34031414
6,Student 6,Grade 10,Male,15,Houston,Graduate,Low,75,91,75,184,188,5,Yes,82,23,High,Yes,Tablet,91,241,80.33333333,6,Pass,3.213333333,102.173913
7,Student 7,Grade 12,Male,15,New York,Postgraduate,High,57,56,66,196,127,7,No,98,20,High,No,Mobile,59,179,59.66666667,26,Pass,2.386666667,64.79591837
8,Student 8,Grade 11,Female,17,New York,Graduate,High,88,46,93,195,173,2,No,78,23,High,No,PC,81,227,75.66666667,9,Pass,3.026666667,88.71794872
9,Student 9,Grade 12,Male,16,Los Angeles,Graduate,Low,78,64,56,194,138,8,No,92,8,High,No,Mobile,92,198,66,20,Pass,2.64,71.13402062
10,Student 10,Grade 12,Male,15,New York,Postgraduate,Medium,71,84,48,194,156,2,No,71,22,High,No,PC,79,203,67.66666667,15,Pass,2.706666667,80.41237113
11,Student 11,Grade 12,Male,18,Chicago,Graduate,Low,63,43,72,184,116,4,No,75,6,High,Yes,PC,88,178,59.33333333,27,Pass,2.373333333,63.04347826
12,Student 12,Grade 12,Male,15,Houston,Postgraduate,High,62,75,92,193,185,1,No,77,5,High,Yes,Mobile,80,229,76.33333333,6,Pass,3.053333333,95.85492228
13,Student 13,Grade 10,Male,15,New York,Graduate,High,71,45,59,181,189,5,Yes,99,19,Low,No,Tablet,67,175,58.33333333,29,Pass,2.333333333,104.4198895
14,Student 14,Grade 12,Female,17,New York,Postgraduate,Medium,76,99,52,190,143,9,Yes,70,9,Medium,No,Mobile,85,227,75.66666667,7.5,Pass,3.026666667,75.26315789
15,Student 15,Grade 11,Male,17,Los Angeles,Postgraduate,High,51,70,67,198,124,1,No,98,24,High,No,PC,51,188,62.66666667,31,Pass,2.506666667,62.62626263
16,Student 16,Grade 10,Female,16,Los Angeles,Graduate,Low,88,58,87,186,116,9,No,56,15,Low,Yes,PC,63,233,77.66666667,9,Pass,3.106666667,62.3655914
17,Student 17,Grade 11,Male,18,Chicago,Graduate,Medium,94,83,68,185,112,8,Yes,66,14,Low,Yes,Mobile,62,245,81.66666667,4,Pass,3.266666667,60.54054054
18,Student 18,Grade 11,Female,17,Houston,Graduate,Low,52,93,52,181,183,6,No,69,6,Low,Yes,Tablet,78,197,65.66666667,28,Pass,2.626666667,101.1049724
19,Student 19,Grade 11,Male,15,Los Angeles,High School,Low,62,78,85,185,124,7,No,90,7,Medium,Yes,Tablet,61,225,75,10,Pass,3,67.02702703
